Drug Name,1,2,3,4,5,6,7,8,9,10
OTC-Cetirizine,APO,JAMP,,,,,,,,
OTC-Dimenhydrinate,JAMP,,,,,,,,,
OTC-Diphenhydramine,JAMP,,,,,,,,,
OTC-Docusate,TARO/RAN,JAMP,PMS,,,,,,,
"OTC-Ferrous Fumarate (PRZ-Ferofit, Jamp-Wamp Ferrous Fumarate, Sdz-Euro Ferrous Fumarate)",PRZ,SDZ,JAMP,,,,,,,
OTC-Ferrous Gluconate,JAMP,TEVA/RTP/ACT,,,,,,,,
OTC-Ferrous Polysaccharide,JAMP,,,,,,,,,
OTC-Ferrous Sulfate,JAMP/WAMP,,,,,,,,,
OTC-Ferrous Sulfate Soln,JAMP,,,,,,,,,
OTC-Folic Acid 1mg,JAMP,,,,,,,,,
OTC-Glucose,JAMP,,,,,,,,,
OTC-Iron Polypeptide,JAMP,,,,,,,,,
OTC-Lactase Enzyme,JAMP,,,,,,,,,
OTC-Lactulose,PMS,JAMP,TEVA/RTP/ACT,,,,,,,
OTC-Loperamide,PMS,JAMP,TEVA/RTP/ACT,,,,,,,
OTC-Loratadine,JAMP,APO,,,,,,,,
OTC-Magnesium,JAMP,,,,,,,,,
OTC-Niacin,JAMP,,,,,,,,,
OTC-Peglyte (Jamp-Lyte),JAMP,,,,,,,,,
"OTC-Polyethylene Glycol (Jamp-Emolax, Pms-Lax-A-Day)",JAMP,PMS,,,,,,,,
OTC-Pyrantel Pamoate,JAMP,,,,,,,,,
OTC-Sennosides,JAMP,PMS,,,,,,,,
OTC-Sennosides / Docusate,SDZ,JAMP,,,,,,,,
OTC-Sodium Bicarbonate,JAMP,SDZ,,,,,,,,
OTC-Vitamin B12,JAMP,,,,,,,,,
OTC-Vitamin B6,JAMP,,,,,,,,,
Oxazepam,APO,,,,,,,,,
Oxcarbazepine,APO,,,,,,,,,
Oxybutynin,TEVA/RTP/ACT,APO,PMS,,,,,,,
Oxycodone (Sdz-Supeudol),PMS,SDZ,,,,,,,,
Oxycodone / Acetaminophen (Oxycocet),TEVA/RTP/ACT,APO,,,,,,,,
"Oxycodone / ASA (Teva-Oxycodan, Percodan)",TEVA/RTP/ACT,,,,,,,,,
Oxycodone CR,PMS,APO,,,,,,,,
Oxycodone Supp (Sdz-Supeudol),SDZ,,,,,,,,,
Pantoprazole Magnesium,MAR/ALT,MYLAN,,,,,,,,
Pantoprazole Sodium,SDZ,TARO/RAN,JAMP,AURO,PMS,TEVA/RTP/ACT,APO,MINT,,
Papaverine Injection,SDZ,,,,,,,,,
Paroxetine,APO,TEVA/RTP/ACT,JAMP,MAR,PMS,MINT,AURO,,,
Pazopanib,PMS,,,,,,,,,
Pen Needles,NANOFINE,,,,,,,,,
Penicillin,AA,,,,,,,,,
Pentoxifylline,JAMP,AA,,,,,,,,
Perampanel,TARO/RAN,,,,,,,,,
Perindopril,TEVA/RTP/ACT,JAMP,AURO,APO,MAR,MINT,PMS,SDZ,,
Perindopril / Amlodipine,APO,PMS,,,,,,,,
Perindopril / Indapamide,APO,TEVA/RTP/ACT,JAMP,SDZ,PMS,,,,,
Perphenazine,AA,,,,,,,,,
Phenobarbital Injection,SDZ,,,,,,,,,
Phentolamine Injection,SDZ,,,,,,,,,
Phenylephrine Injection,SDZ,JAMP,,,,,,,,
Phenytoin,AA,,,,,,,,,
Phenytoin Injection,SDZ,,,,,,,,,
Phenytoin Suspension,TARO/RAN,,,,,,,,,
Pilocarpine,JAMP,,,,,,,,,
Pimozide,AA,,,,,,,,,
Pindolol,TEVA/RTP/ACT,,,,,,,,,
Pioglitazone,TEVA/RTP/ACT,APO,MINT,,,,,,,
Piperacillin/Tazobactam Injection,SDZ,,,,,,,,,
Piroxicam,APO,,,,,,,,,
Posaconazole,SDZ,TARO/RAN,MINT,JAMP,,,,,,
Potassium,PRZ,JAMP,,,,,,,,
Pramipexole,SDZ,TEVA/RTP/ACT,APO,AURO,,,,,,
Pravastatin,TEVA/RTP/ACT,APO,TARO/RAN,MAR,PMS,JAMP,MINT,,,
Prazosin,TEVA/RTP/ACT,APO,,,,,,,,
Prednisolone Oph Suspension,SDZ,TEVA/RTP/ACT,,,,,,,,
Prednisolone Oral Soln,PMS,,,,,,,,,
Prednisone,APO,TEVA/RTP,,,,,,,,
Pregabalin,SDZ,TEVA/RTP/ACT,PMS,TARO/RAN,APO,JAMP,AURO,MINT,MAR,
Primidone,AA,,,,,,,,,
Procainamide Injection,SDZ,,,,,,,,,
Prochlorperazine,AA,,,,,,,,,
Progesterone,TEVA/RTP/ACT,PMS,AURO,,,,,,,
Progesterone Inj,TEVA/RTP/ACT,,,,,,,,,
Propafenone,APO,MYLAN,,,,,,,,
Propranolol,TEVA/RTP/ACT,PRZ,,,,,,,,
Propranolol Injection,SDZ,,,,,,,,,
Protamine Injection,SDZ,,,,,,,,,
Prucalopride,JAMP,APO,,,,,,,,
Pyridostigmine,JAMP,,,,,,,,,
Quetiapine,APO,JAMP,TEVA/RTP/ACT,MINT,PMS,AURO,,,,
Quetiapine XR,TEVA/RTP/ACT,JAMP,SDZ,MINT,APO,,,,,
Quinapril,JAMP,APO,PMS,,,,,,,
Quinapril / HCTZ,AURO,JAMP,,,,,,,,
Quinine,TEVA/RTP/ACT,,,,,,,,,
Rabeprazole,SDZ,JAMP,,,,,,,,
Raloxifene,TEVA/RTP/ACT,APO,JAMP,,,,,,,
Ramipril,TARO/RAN,APO,AURO,MINT,JAMP,MAR,PMS,,,
Ramipril/HCTZ,PMS,TARO/RAN,,,,,,,,
Ranitidine,MINT,PMS,MAR,,,,,,,
Rasagiline,TEVA/RTP/ACT,JAMP,APO,,,,,,,
Repaglinide,SDZ,AURO,JAMP,,,,,,,
Riluzole,APO,MYLAN,,,,,,,,
Risedronate,TEVA/RTP/ACT,SDZ,PMS,APO,AURO,,,,,
Risperidone,PMS,TEVA/RTP/ACT,APO,MAR,JAMP,MINT,,,,
Risperidone Liquid,PMS,JAMP,,,,,,,,
Ritonavir,AURO,,,,,,,,,
Rivaroxaban,SDZ,TEVA/RTP/ACT,PMS,TARO/RAN,JAMP,APO,,,,
Rivastigmine,APO,JAMP,,,,,,,,
Rivastigmine Patch,SDZ,MYLAN,,,,,,,,
Rizatriptan,TEVA/RTP/ACT,MAR,APO,JAMP,,,,,,
Rizatriptan ODT,TEVA/RTP/ACT,SDZ,MAR,PMS,JAMP,MYLAN,,,,
Rocuronium Injection,SDZ,JAMP,,,,,,,,
Ropinirole,TEVA/RTP/ACT,TARO/RAN,,,,,,,,
Rosiglitazone,AA,,,,,,,,,
Rosuvastatin,TARO/RAN,TEVA/RTP/ACT,AURO,APO,SDZ,MAR,MINT,PRZ,PMS,JAMP
Rufinamide,AURO,,,,,,,,,
Rupatadine,APO,PMS,,,,,,,,
Sacubitril/Valsartan,SDZ,PMS,,,,,,,,
Salbutamol Nebules,TEVA/RTP/ACT,,,,,,,,,
Salbutamol Puffer,TEVA/RTP/ACT,APO,,,,,,,,
Saxagliptin,SDZ,APO,,,,,,,,
Seasonale (Myl-Indayo),MYLAN,,,,,,,,,
Selegiline,AA,,,,,,,,,
Semaglutide Inj,APO,DR REDDY,,,,,,,,
Sertraline,APO,TEVA/RTP,AURO,PMS,JAMP,MINT,MAR,,,
Sildenafil,APO,TEVA/RTP,JAMP,MINT,AURO,PRZ,PMS,,,
Silodosin,AURO,JAMP,SDZ,PMS,,,,,,
Simvastatin,APO,TARO/RAN,JAMP,MINT,MAR,AURO,PMS,TEVA/RTP/ACT,,
Sitagliptin,APO,SDZ,TEVA/RTP/ACT,AURO,TARO/RAN,JAMP,PMS,,,
Sitagliptin / Metformin,APO,SDZ,TEVA/RTP/ACT,AURO,JAMP,,,,,
Sitagliptin / Metformin XR,SDZ,APO,,,,,,,,
Sodium Bicarbonate Inj,JAMP,,,,,,,,,
Sodium Phosphate,JAMP,,,,,,,,,
Sodium Polystyrene Sulfonate,JAMP,,,,,,,,,
Solifenacin,TARO/RAN,JAMP,SDZ,TEVA/RTP/ACT,PRZ,AURO,PMS,,,
Sotalol,APO,PMS,,,,,,,,
SPECIALTY - Apremilast,Prescriber Preference,SDZ,AURO,APO,PMS,MIN,JAMP,,,
SPECIALTY - Dimethyl Fumarate,APO or JAMP (MS Clinic Preference),MAR,PMS,AURO,,,,,,
SPECIALTY - Fingolimod,APO or JAMP (MS Clinic Preference),PMS,SDZ,TARO/RAN,MYLAN,,,,,
SPECIALTY - Pirfenidone,Prescriber Preference,SDZ,PMS,AURO,JAMP,,,,,
SPECIALTY - Teriflunomide,APO or JAMP (MS Clinic Preference),TEVA/RTP,SDZ,PMS,,,,,,
SPECIALTY - Tofacitinib,Prescriber Preference,TARO/RAN,SDZ,AURO,PMS,JAMP,,,,
SPECIALTY - Tofacitinib XR,TARO/RAN,,,,,,,,,
Spironolactone,TEVA/RTP/ACT,JAMP,MINT,,,,,,,
Spironolactone HCT,TEVA/RTP/ACT,,,,,,,,,
Sucralfate,TEVA/RTP/ACT,APO,,,,,,,,
Sufentanil Injection,SDZ,,,,,,,,,
Sulfasalazine,JAMP,PMS,,,,,,,,
Sulfatrim,AA,,,,,,,,,
Sulindac,TEVA/RTP/ACT,,,,,,,,,
Sumatriptan,APO,PMS,TEVA/RTP/ACT,MYLAN,,,,,,
Sumatriptan DF,TEVA/RTP/ACT,JAMP,,,,,,,,
Sumatriptan Inj,TARO/RAN,,,,,,,,,
Sunitinib,TEVA/RTP/ACT,AURO,SDZ,TARO/RAN,,,,,,
Tacrolimus,SDZ,,,,,,,,,
Tacrolimus XR,SDZ,,,,,,,,,
Tadalafil,TEVA/RTP/ACT,APO,TARO/RAN,MAR,PMS,JAMP,AURO,MINT,PRZ,MYLAN
Tamoxifen,APO,,,,,,,,,
Tamsulosin CR,TEVA/RTP/ACT,AURO,APO,SDZ,,,,,,
Tamsulosin SR,SDZ,JAMP,,,,,,,,
Telmisartan,SDZ,TEVA/RTP/ACT,JAMP,AURO,PMS,MINT,,,,
Telmisartan HCT,SDZ,TEVA/RTP/ACT,JAMP,AURO,,,,,,
Temazepam,AA,,,,,,,,,
Temozolomide,TEVA/RTP/ACT,TARO/RAN,JAMP,,,,,,,
Tenofovir,APO,PMS,JAMP,MINT,AURO,MYLAN,,,,
Terazosin,APO,PMS,,,,,,,,
Terbinafine,APO,TEVA/RTP/ACT,AURO,PMS,,,,,,
Terconazole Vag crm,TARO/RAN,,,,,,,,,
Teriparatide Inj,TEVA/RTP/ACT,,,,,,,,,
Testosterone Cap,TARO/RAN,,,,,,,,,
Testosterone Cyp Injection,TARO/RAN,,,,,,,,,
Testosterone gel,TARO/RAN,,,,,,,,,
Tetrabenazine,APO,PMS,,,,,,,,
Tetracycline,AA,,,,,,,,,
Theophylline,AA,,,,,,,,,
Tiaprofenic,TEVA/RTP/ACT,,,,,,,,,
Ticagrelor,TARO/RAN,JAMP,APO,,,,,,,
Timolol,AA,,,,,,,,,
Timolol Oph Sol,APO,SDZ,JAMP,,,,,,,
Tiotropium,APO,,,,,,,,,
Tizanidine,APO,MINT,,,,,,,,
Tobramycin Inh,TEVA/RTP/ACT,,,,,,,,,
Tobramycin Injection,SDZ,JAMP,,,,,,,,
Tobramycin Oph Sol,SDZ,,,,,,,,,
Tolterodine,JAMP,MINT,,,,,,,,
Tolterodine ER,TEVA/RTP/ACT,,,,,,,,,
Topiramate,APO,TEVA/RTP,PMS,JAMP,AURO,MINT,MYLAN,,,
Tramadol,MAR,APO,JAMP,AURO,,,,,,
Tramadol ER,TARO/RAN,,,,,,,,,
Tramadol/Acetaminophen,APO,TARO/RAN,JAMP,MAR,TEVA/RTP/ACT,AURO,MINT,PMS,,
Trandolapril,AURO,PMS,SDZ,,,,,,,
Tranexamic Acid,MAR,JAMP,,,,,,,,
Tranexamic Acid Injection,JAMP,SDZ,,,,,,,,
Travoprost,SDZ,APO,JAMP,,,,,,,
Travoprost / Timolol,APO,,,,,,,,,
Trazodone,TEVA/RTP/ACT,APO,PMS,JAMP,,,,,,
"Triamcinolone / Nystatin / Neomycin / Gramicidin (Viaderm KC, Teva-Triacomb)",TEVA/RTP/ACT,,,,,,,,,
Triamcinolone crm/oint,TARO/RAN,,,,,,,,,
Triamcinolone Nasal,APO,,,,,,,,,
Triamterene HCTZ,TEVA/RTP/ACT,APO,,,,,,,,
Triazolam,AA,,,,,,,,,
TriCyclen Lo (Apo-Tricira Lo),APO,,,,,,,,,
Trifluoperazine,AA,,,,,,,,,
Trihexyphenidyl,AA,,,,,,,,,
Trimebutine,APO,MINT,,,,,,,,
Trimethoprim,AA,,,,,,,,,
Trimipramine,AA,,,,,,,,,
Trospium,JAMP,MAR,,,,,,,,
Tryptophan,APO,,,,,,,,,
Ursodiol,PMS,JAMP,,,,,,,,
Valacyclovir,APO,JAMP,TEVA/RTP/ACT,PMS,AURO,MYLAN,,,,
Valganciclovir,MINT,TEVA/RTP/ACT,AURO,,,,,,,
Valganciclovir Susp,AURO,,,,,,,,,
Valproic Acid,APO,PMS,,,,,,,,
Valproic Acid Oral Soln,JAMP,PMS,,,,,,,,
Valsartan,SDZ,TARO/RAN,AURO,,,,,,,
Valsartan HCT,SDZ,AURO,,,,,,,,
Vancomycin,JAMP,,,,,,,,,
Vancomycin Injection,MAR,JAMP,SDZ,,,,,,,
Vardenafil,APO,JAMP,MYLAN,,,,,,,
Vardenafil ODT,JAMP,,,,,,,,,
Varenicline,MINT,APO,,,,,,,,
Vasopressin Inj,SDZ,,,,,,,,,
Venlafaxine XR,TARO/RAN,AURO,TEVA/RTP/ACT,MINT,PMS,SDZ,JAMP,,,
Verapamil,APO,,,,,,,,,
Verapamil Injection,SDZ,,,,,,,,,
Verapamil SR,APO,MYLAN,,,,,,,,
Vilazodone,APO,,,,,,,,,
Vitamin B12 Injection,SDZ,,,,,,,,,
"Vitamin D 10,000",JAMP,,,,,,,,,
Voriconazole,SDZ,JAMP,,,,,,,,
Vortioxetine,APO,,,,,,,,,
Warfarin,TARO/RAN,APO,,,,,,,,
Zidovudine,APO,,,,,,,,,
Ziprasidone,AURO,,,,,,,,,
Zoledronic Injection 4mg,JAMP,SDZ,TARO/RAN,,,,,,,
Zoledronic Injection 5mg,DR. REDDY (DIRECT ORDER ONLY),,,,,,,,,
Zolmitriptan,SDZ,TEVA/RTP/ACT,JAMP,MINT,AURO,,,,,
Zolmitriptan ODT,SDZ,TEVA/RTP/ACT,,,,,,,,
Zolpidem ODT,JAMP,MINT,APO,PMS,,,,,,
Zopiclone,TEVA/RTP/ACT,APO,PMS,MAR,JAMP,MINT,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
