Drug Name,1,2,3,4,5,6,7,8,9,10
Cefprozil Suspension,TARO/RAN,AURO,,,,,,,,
Ceftriaxone Sodium Inj,SDZ,,,,,,,,,
Cefuroxime,JAMP,AURO,APO,,,,,,,
Celecoxib,APO,MAR,AURO,JAMP,MINT,PMS,,,,
Cephalexin,APO,AURO,TEVA/RTP/ACT,JAMP,,,,,,
Cephalexin Suspension,AURO,TEVA/RTP/ACT,JAMP,,,,,,,
Cetirizine (rx),MAR,TEVA/RTP/ACT,MINT,APO,PMS,JAMP,,,,
Chloral Hydrate,ODAN,,,,,,,,,
Chlordiazepoxide,AA,,,,,,,,,
Chlorhexidine Rinse,PMS,,,,,,,,,
Chlorpromazine,TEVA/RTP/ACT,,,,,,,,,
Chlorthalidone,APO,JAMP,,,,,,,,
Cholestyramine,JAMP,PMS,,,,,,,,
Ciclopirox,APO,TARO/RAN,,,,,,,,
Cilazapril,APO,MYLAN,,,,,,,,
Cilazapril HCT,APO,,,,,,,,,
Cimetidine,AA,,,,,,,,,
Cinacalcet,MAR,PMS,APO,MYLAN,,,,,,
Ciprofloxacin,SDZ,TARO/RAN,TEVA/RTP/ACT,PMS,MAR,AURO,JAMP,MINT,,
Ciprofloxacin / Dexamethasone ear drops,TARO/RAN,SDZ,,,,,,,,
Ciprofloxacin Opth Solution,SDZ,,,,,,,,,
Ciprofloxacin XL,PMS,,,,,,,,,
Citalopram,APO,TEVA/RTP/ACT,JAMP,MINT,AURO,MAR,PMS,,,
Cladribine,APO,,,,,,,,,
Clarithromycin,SDZ,TARO/RAN,APO,,,,,,,
Clarithromycin Suspension,TARO/RAN,,,,,,,,,
Clarithromycin XL,TEVA/RTP/ACT,APO,,,,,,,,
Clindamycin,AURO,JAMP,,,,,,,,
Clindamycin Topical solution,TARO/RAN,,,,,,,,,
Clobazam,APO,TEVA/RTP/ACT,,,,,,,,
Clobetasol Crm/Oint/Lotion,TEVA/RTP/ACT,TARO/RAN,MYLAN,,,,,,,
Clobetasol Shampoo,TARO/RAN,,,,,,,,,
Clobetasol Spray,JAMP,TARO/RAN,,,,,,,,
Clomipramine,TARO/RAN,APO,,,,,,,,
Clonazepam,APO,PMS,,,,,,,,
Clonidine,SDZ,MAR,TEVA/RTP/ACT,JAMP,MINT,,,,,
Clopidogrel,APO,TEVA/RTP,JAMP,TARO/RAN,AURO,PMS,MAR,MINT,,
Clorazepate,AA,,,,,,,,,
Clotrimazole,TARO/RAN,,,,,,,,,
Clotrimazole / Betamethasone,TARO/RAN,,,,,,,,,
Cloxacillin,TEVA/RTP/ACT,JAMP,,,,,,,,
Clozapine,BASED ON PATIENT,,,,,,,,,
Codeine,TEVA/RTP/ACT,,,,,,,,,
Codeine / acetaminophen,TEVA/RTP/ACT,,,,,,,,,
Codeine / acetaminophen / caffeine (Lenoltec),TEVA/RTP/ACT,,,,,,,,,
Colchicine,PMS,JAMP,,,,,,,,
Colesevelam,APO,,,,,,,,,
Colistimethate Inj,MAR,,,,,,,,,
Cotridin (Co-Actifed),TEVA/RTP/ACT,,,,,,,,,
Cyclobenzaprine,JAMP,TEVA/RTP/ACT,APO,PMS,AURO,,,,,
Cyclosporine,SDZ,,,,,,,,,
Cyclosporine Oph,TEVA/RTP/ACT,,,,,,,,,
Cyproheptadine,MAR,JAMP,,,,,,,,
Cyproterone,JAMP/MED,AA,,,,,,,,
Cyproterone/Ethinyl Estradiol (Diane 35),TEVA/RTP/ACT,TARO/RAN,,,,,,,,
Dabigatran,APO,,,,,,,,,
Dapagliflozin,PMS,SDZ,APO,AURO,JAMP,,,,,
Dapagliflozin / Metformin,AURO,APO,,,,,,,,
Dapsone,MAR,,,,,,,,,
Darunavir,AURO,APO,JAMP,,,,,,,
Dasatinib,TEVA/RTP/ACT,TARO/RAN,APO,,,,,,,
Deferasirox,TARO/RAN,SDZ,AURO,PMS,APO,,,,,
Desipramine,AA,,,,,,,,,
Desmopressin,APO,PMS,,,,,,,,
Desvenlafaxine,TEVA/RTP/ACT,SDZ,JAMP,TARO/RAN,APO,,,,,
Dexamethasone,APO,PMS,,,,,,,,
Dexamethasone Injection,SDZ,,,,,,,,,
Dexlansoprazole,APO,,,,,,,,,
Dextroamphetamine,TEVA/RTP/ACT,AA,,,,,,,,
Diazepam,AA,,,,,,,,,
Diazepam Injection,SDZ,,,,,,,,,
Diclofenac 1.5% (Pennsaid),TARO/RAN,JAMP,PMS,,,,,,,
Diclofenac EC,APO,PMS,,,,,,,,
Diclofenac Opth,APO,MINT,JAMP,,,,,,,
Diclofenac Rapide / K,SDZ,,,,,,,,,
Diclofenac Sachet,TARO/RAN,JAMP,,,,,,,,
Diclofenac SR,APO,,,,,,,,,
Diclofenac Sup,SDZ,,,,,,,,,
Diclofenac/Misoprostol,PMS,,,,,,,,,
Dicyclomine,JAMP,,,,,,,,,
Dienogest,JAMP,,,,,,,,,
Digoxin,PMS,JAMP,AURO,,,,,,,
Digoxin Injection,SDZ,,,,,,,,,
Diltiazem,AA,,,,,,,,,
Diltiazem CD,MAR,APO,TEVA/RTP/ACT,JAMP,,,,,,
Diltiazem Injection,SDZ,,,,,,,,,
Diltiazem T,MAR,TEVA/RTP/ACT,JAMP,,,,,,,
Diltiazem XC,TEVA/RTP/ACT,,,,,,,,,
Dimenhydrinate Injection,SDZ,,,,,,,,,
Diphenhydramine HCl Injection,SDZ,,,,,,,,,
Divalproex,APO,MYLAN,,,,,,,,
Dobutamine Injection,SDZ,,,,,,,,,
Dolutegravir,PMS,,,,,,,,,
Domperidone,PRZ,TARO/RAN,PRZ,MAR,JAMP,,,,,
Donepezil,SDZ,TARO/RAN,MAR,TEVA/RTP/ACT,APO,JAMP,PMS,MINT,AURO,
Dorzolamide,JAMP,,,,,,,,,
Dorzolamide/Timolol,JAMP,APO,SDZ,,,,,,,
Doxazosin,TEVA/RTP/ACT,JAMP,APO,,,,,,,
Doxepin,MAR,APO,AA,,,,,,,
Doxycycline,TEVA/RTP/ACT,PMS,JAMP,APO,PRZ,,,,,
Doxycycline MR,APO,,,,,,,,,
Doxylamine / pyridoxine,APO,PMS,,,,,,,,
"Drospirenone / ethinyl estradiol (Yasmin, Zamine-Apo)",APO,,,,,,,,,
"Drospirenone / ethinyl estradiol (YAZ, Mya-APO)",APO,,,,,,,,,
Duloxetine,APO,TEVA/RTP/ACT,JAMP,SDZ,TARO/RAN,MAR,AURO,MINT,PMS,
Dutasteride,TEVA/RTP/ACT,AURO,SDZ,APO,JAMP,MINT,,,,
Edoxaban,SDZ,TEVA/RTP/ACT,JAMP,,,,,,,
Efavirenz,MYLAN,JAMP,,,,,,,,
Efavirenz / emtricitabine / tenofovir,APO,MYLAN,,,,,,,,
Eletriptan,TEVA/RTP/ACT,APO,AURO,JAMP,,,,,,
Eltrombopag,APO,,,,,,,,,
Emtricitabine / tenofovir,AURO,PMS,APO,MINT,JAMP,MYLAN,,,,
Enalapril,TARO/RAN,MAR,TEVA/RTP/ACT,JAMP,APO,,,,,
Enalapril HCT,AA,,,,,,,,,
Entacapone,TEVA/RTP/ACT,SDZ,MINT,,,,,,,
Entecavir,APO,PMS,MINT,AURO,JAMP,,,,,
Enzalutamide,JAMP,,,,,,,,,
Ephedrine Injection,SDZ,,,,,,,,,
Eplerenone,MINT,JAMP,,,,,,,,
Erlotinib,TEVA/RTP/ACT,,,,,,,,,
Escitalopram,TEVA/RTP/ACT,TARO/RAN,APO,JAMP,PMS,MINT,SDZ,AURO,MAR,MYLAN
Escitalopram ODT,TEVA/RTP/ACT,,,,,,,,,
Eslicarbazepine,APO,AURO,,,,,,,,
Esomeprazole,TEVA/RTP/ACT,TARO/RAN,PMS,SDZ,JAMP,APO,MYLAN,,,
